seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
opalina,"Caixa com tampa em opalina azul, guarnição em bronze dourado, tampa co",100.0,24,215,270,630,36,371,1.26,0.48,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026525,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026525.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,180.0,7,299,234,720,-81,371,0.78,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176363,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176363.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,180.0,7,299,234,720,-81,371,0.78,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176913,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176913.jpg
prata lei/contr,"ANTIGO TERÇO PRODUZIDO EM PRATA DE LEI, MEDINDO 45CM.",180.0,7,299,234,720,-81,371,0.78,0.49,peq/med,,NaT,sem_data,https://marthapadilhaleiloeira.lel.br/peca.asp?Id=31036123,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62355/31036123.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,190.0,7,310,234,720,-92,360,0.76,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30177295,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177295.jpg
prata lei/contr,Cordão em prata 925 com trabalho geometrico e pedras / Tam: 40cm/ Peso,190.0,7,310,234,720,-92,360,0.76,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30254223,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30254223.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176850,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176850.jpg
prata lei/contr,"PRATA DE LEI, par (2) de fivelas de sapato confeccionadas em PRATA DE ",200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=31024164,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/31024164.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176346,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176346.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176620,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176620.jpg
prata lei/contr,"Par de pequenos cinzeiros de prata de lei contrastada, borda recortada",200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31202998,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31202998.jpg
prata lei/contr,RR Antiguidades Antigo e rara colher comemorativa em prata de lei. Pec,200.0,7,320,234,720,-102,350,0.73,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176260,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176260.jpg
opalina,Lustre de bronze com cupúla de vidro opalinado róseo - comp. 85cm (tot,70.0,0,244,270,630,8,342,1.11,0.48,medio,RS,2026-06-18 14:00,junho,https://danielchaiebleiloeiro.com.br/peca.asp?Id=31098946,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62501/31098946.jpg
vista alegre,"'Vista Alegre'. Porcelana branca: dois bowls (13,5x4cm.) e três pequen",12.0,15,123,252,488,112,331,2.06,0.65,peq/med,RJ,2026-06-23 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29409195,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29409195.jpg
vista alegre,"Vista Alegre  Portugal  Viva  Castiçal, em porcelana branca, detalhes ",15.0,15,126,252,488,109,328,2.0,0.65,peq/med,RJ,2026-06-23 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29205823,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29205823.jpg
vista alegre,Vaso  jarra  porcelana branca  Vista Alegre Coral  15X10X8.,15.0,15,126,252,488,109,328,2.0,0.65,peq/med,RJ,2026-06-23 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29205816,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29205816.jpg
vista alegre,"Duas xícaras com pires em porcelana portuguesa, sendo uma de Coimbra e",20.0,15,131,252,488,103,323,1.92,0.65,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31050812,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31050812.jpg
limoges,Duas xícaras de café em porcelana francesa Limoges.,20.0,15,131,252,486,103,321,1.92,0.58,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31050862,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31050862.jpg
limoges,"Lote c/ 3 miniaturas de medalhões em porcelana, nos formatos: redondo ",20.0,15,131,252,486,103,321,1.92,0.58,peq/med,SP,2026-07-18 19:00,julho,https://casanostraleiloes.com.br/peca.asp?Id=30970681,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/57034/30970681.jpg
prata lei/contr,"RR Antiguidades Antigo e raro Instrumento de Manicure, Lamina com cabo",230.0,7,352,234,720,-134,318,0.67,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176962,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176962.jpg
prata lei/contr,RR Antiguidades Antigo e raro Estilete com cabo confeccionado em prata,230.0,7,352,234,720,-134,318,0.67,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176971,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176971.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,230.0,7,352,234,720,-134,318,0.67,0.49,peq/med,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063049,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063049.jpg
opalina,"DÉCADA DE 50- Elegante Solifleur de MURANO ITALIANO, azul cobalto, int",150.0,24,268,270,630,-16,318,1.01,0.48,peq/med,,NaT,sem_data,https://estiloantigoleiloes.com.br/peca.asp?Id=30966705,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62163/30966705.jpg
limoges,LIMOGES - Manteigueira / porta chá em porcelana francesa. Em ótimo est,25.0,15,136,252,486,98,316,1.85,0.58,peq/med,RJ,2026-06-17 19:00,junho,https://anamelloleiloeira.com.br/peca.asp?Id=30103178,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60770/30103178.jpg
vista alegre,ANTIGO PRATO DE COLEÇÃO EM PORCELANA PORTUGUESA VISTA ALEGRE. DECORAÇÃ,30.0,15,142,252,488,93,312,1.78,0.65,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31103985,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31103985.jpg
limoges,"Dois pratos de porcelana, sendo um inglês e outro francês de Limoges. ",30.0,15,142,252,486,93,310,1.78,0.58,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31051357,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31051357.jpg
prata lei/contr,RR Antiguidades  Antigo porta joias em porcelana com belissimos detalh,240.0,7,362,234,720,-144,308,0.65,0.49,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996161,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996161.jpg
prata lei/contr,Ane em prata 925 masculino com Orixa no centro OGUM / Aro: 24 / Peso: ,250.0,7,372,234,720,-155,297,0.63,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30252927,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30252927.jpg
opalina,"TERMO-REY, três (3) tigelas confeccionados em vidro opalinado na tonal",172.0,24,291,270,630,-40,295,0.93,0.48,peq/med,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=31076184,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/31076184.jpg
vista alegre,"VISTA ALEGRE- PERIODO ART DÉCO- Trio para chá de coleção, cerca de 192",50.0,15,162,252,488,72,291,1.55,0.65,peq/med,,NaT,sem_data,https://estiloantigoleiloes.com.br/peca.asp?Id=30967303,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62163/30967303.jpg
vista alegre,"VISTA ALEGRE- PERIODO ART DÉCO- Trio para chá de coleção, cerca de 192",50.0,15,162,252,488,72,291,1.55,0.65,peq/med,,NaT,sem_data,https://estiloantigoleiloes.com.br/peca.asp?Id=30970538,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62163/30970538.jpg
vista alegre,"VISTA ALEGRE- PERIODO ART DÉCO- Trio para chá de coleção, cerca de 192",50.0,15,162,252,488,72,291,1.55,0.65,peq/med,,NaT,sem_data,https://estiloantigoleiloes.com.br/peca.asp?Id=30967308,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62163/30967308.jpg
prata lei/contr,"Porta-caixa de fósforos em prata esterlina inglesa (.925), de linhas s",260.0,7,383,234,720,-165,287,0.61,0.49,peq/med,,NaT,sem_data,https://rioarteleiloes.com.br/peca.asp?Id=31107283,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62093/31107283.jpg
prata lei/contr,RR Antiguidades Antigo e raro abotoador de sapatos com cabo confeccion,270.0,7,394,234,720,-176,276,0.59,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176891,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176891.jpg
vista alegre,ANTIGA PETISQUEIRA DE COLEÇÃO EM PORCELANA PORTUGUESA VISTA ALEGRE PAD,70.0,15,184,252,488,51,270,1.37,0.65,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31104001,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31104001.jpg
prata lei/contr,ESCULTURA EM PRATA DE LEI TEOR 925 MLS REPRESENTANDO UM VIOLNISTA DO E,220.0,0,401,234,720,-183,269,0.58,0.49,medio,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31103867,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31103867.jpg
limoges,Prato em porcelana da manufatura Limoges com ouro na borda. Diâmetro: ,70.0,15,184,252,486,51,268,1.37,0.58,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=30571047,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/30571047.jpg
prata lei/contr,RR Antiguidades Antiga colher comemorativa confeccionada em prata de l,280.0,7,404,234,720,-186,266,0.58,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176385,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176385.jpg
limoges,"Limoges: Pequenino prato, decorativo, em porcelana francesa. Ao centro",72.0,15,186,252,486,49,266,1.36,0.58,peq/med,RJ,2026-06-23 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29423251,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29423251.jpg
rosenthal,Rosenthal Madeline da década de 1930 -  porcelana Alemão Rosenthal é u,98.0,24,213,270,504,38,256,1.27,0.55,peq/med,RS,2026-06-18 14:00,junho,https://ciclosleiloes.com.br/peca.asp?Id=31112678,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61115/31112678.jpg
prata lei/contr,RR Antiguidades Antigo raro prato decorativo confeccionado em porcelan,290.0,7,414,234,720,-197,255,0.56,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176680,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176680.jpg
rosenthal,"Rosenthal Germany - Oveiro em porcelana no padrão ""Pine Needles"", base",100.0,24,215,270,504,36,254,1.26,0.55,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31028049,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31028049.jpg
wmf,"WMF - Vaso Jungendstil, em cristal transparente e lapidado, com boca e",360.0,118,488,468,792,-53,249,0.96,0.47,peq/med,RJ,2026-06-16 19:00,junho,https://rosanavaleleiloes.com.br/peca.asp?Id=30188755,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60441/30188755.jpg
limoges,"Limoges  Joieiro em porcelana francesa pintada à mão, com delicada dec",90.0,15,204,252,486,30,247,1.23,0.58,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31198829,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31198829.jpg
prata lei/contr,"Cordão em prata 925 masculino / tam: 58cm / Peso: 16,8grs",298.0,7,423,234,720,-205,247,0.55,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30252177,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30252177.jpg
vista alegre,"'Vista Alegre' : Xícara  de chá e pires, em porcelana  portuguesa. Dec",92.0,15,207,252,488,28,247,1.22,0.65,peq/med,RJ,2026-06-23 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29393361,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29393361.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176864,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176864.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176483,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176483.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176736,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176736.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176322,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176322.jpg
vista alegre,"Lote composto de três xícaras para chá, e seus pires, em porcelana esm",100.0,15,215,252,488,19,239,1.17,0.65,peq/med,SP,2026-06-18 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31093299,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31093299.jpg
limoges,"Linda violeteira em porcelana francesa Limoges de 18x7 cm, com estampa",100.0,15,215,252,486,19,237,1.17,0.58,peq/med,RS,2026-06-22 19:00,junho,https://santayana.com.br/peca.asp?Id=31214720,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62339/31214720.jpg
candelabro,"Lote de castiçal em porcelana, castiçal, vaso e enfeite em demicristal",40.0,0,152,162,414,-1,233,1.07,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=30944578,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/30944578.jpg
rosenthal,Rosenthal Selb-Germany Helena. Xícara de café com pires e prato de bol,120.0,24,236,270,504,15,233,1.14,0.55,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31160863,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31160863.jpg
candelabro,"Lote de vaso solifleur em porcelana, cinzeiro em vidro e castiçal em m",45.0,0,157,162,414,-7,228,1.03,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033028,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033028.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,320.0,7,446,234,720,-228,224,0.52,0.49,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063569,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063569.jpg
prata lei/contr,Lote de faca de fruta e abre cartas com pega em prata de lei. Medidas:,320.0,7,446,234,720,-228,224,0.52,0.49,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=30971079,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62060/30971079.jpg
vista alegre,VISTA ALEGRE - CONJUNTO DE SEIS XÍCARAS DE CHÁ COM PIRES EM PORCELANA ,120.0,15,236,252,488,-2,218,1.07,0.65,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=30884068,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/30884068.jpg
limoges,RR Antiguidades  Antigo pequeno prato decorativo em porcelana Francesa,120.0,15,236,252,486,-2,216,1.07,0.58,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063575,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063575.jpg
opalina,Excepcional caixa em opalina azul finamente decorada com flores em pol,250.0,24,372,270,630,-121,213,0.72,0.48,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026529,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026529.jpg
candelabro,"Lote de vaso floreira em porcelana, castiçal em porcelana e cachepot e",60.0,0,173,162,414,-22,212,0.94,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033288,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033288.jpg
opalina,Magnífico Lustre Pendente com Cúpula em Vidro Opalinado Séc. XX. |  Es,200.0,0,380,270,630,-129,206,0.71,0.48,medio,RJ,2026-06-16 19:00,junho,https://delonleiloes.com.br/peca.asp?Id=30939457,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61492/30939457.jpg
candelabro,"Candelabro antigo em porcelana, em bom estado de conservação",20.0,0,191,162,414,-40,194,0.85,0.47,medio,,NaT,sem_data,https://leocolecoes.com.br/peca.asp?Id=31128979,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62511/31128979.jpg
prata lei/contr,RR Antiguidades Antigo trio de colheres comemorativas em prata de lei.,350.0,7,478,234,720,-260,192,0.49,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176451,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176451.jpg
vista alegre,Par de travessas em porcelana portuguesa Vista Alegre. Decoração de fl,150.0,15,268,252,488,-33,186,0.94,0.65,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=30909637,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/30909637.jpg
candelabro,Castiçal de bronze . Mede: 50 cm de alt,100.0,0,215,162,414,-64,170,0.75,0.47,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=30876545,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61976/30876545.jpg
prata lei/contr,Grande Placa Prata de lei Nossa Senhora de Fátima Peso total 39g. medi,380.0,7,509,234,720,-291,161,0.46,0.49,peq/med,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31154736,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31154736.jpg
opalina,RRDECO ANTIGUIDADES Antigo conjunto de 5 pratos de sobremesa confeccio,300.0,24,425,270,630,-174,161,0.64,0.48,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996471,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996471.jpg
vista alegre,Vista Alegre  Modelo Jardim Roberto Simões  Conjunto com 5 pratos fund,180.0,15,299,252,488,-65,155,0.84,0.65,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31201618,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31201618.jpg
prata lei/contr,"CORRENTE EM PRATA 925 COM DESIGN DE ELOS TRANÇADOS, FREQUENTEMENTE IDE",387.0,7,516,234,720,-299,153,0.45,0.49,peq/med,,NaT,sem_data,https://velhavelharialeiloes.com.br/peca.asp?Id=31165503,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62560/31165503.jpg
prata lei/contr,RR Antiguidades Antiga rara agulha confeccionada em metal e cabo em pr,390.0,7,520,234,720,-302,150,0.45,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30177102,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177102.jpg
candelabro,BRONZE. um (1) castiçal confeccionado em bronze representando cobra na,120.0,0,236,162,414,-85,149,0.69,0.47,peq/med,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=30234203,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/30234203.jpg
candelabro,RR Antiguidades Antigo castical confeccionado em bronze ricamente trab,120.0,0,236,162,414,-85,149,0.69,0.47,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30177110,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177110.jpg
limoges,Antigo prato decorativo para parede em porcelana francesa pintada com ,190.0,15,310,252,486,-75,142,0.81,0.58,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176302,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176302.jpg
prata lei/contr,"Açucareiro inglês em prata 925 mls, de elegante feitura em estilo Art ",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,RJ,2026-06-17 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120012,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120012.jpg
prata lei/contr,"Caixa porta-pílulas ART DECÔ, Década de 20/30, em prata europeia, lavr",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://aureaantiguidades.com.br/peca.asp?Id=30123826,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61010/30123826.jpg
prata lei/contr,Duas molduras para porta retrato de prata de lei inglesa teor 925  fab,400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31010519,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61976/31010519.jpg
prata lei/contr,"Garfo de sobremesa em prata portuguesa, contraste ""P Coroa"", do século",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163538,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163538.jpg
candelabro,Antigo e diferenciado castical confeccionado em porcelana em formato d,130.0,0,246,162,414,-96,139,0.66,0.47,peq/med,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064062,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064062.jpg
candelabro,RR Antiguidades Antigo e diferenciado castical enfeite em vidro transl,130.0,0,246,162,414,-96,139,0.66,0.47,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30177039,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177039.jpg
